"lab1","lab2","non1","non2"
"A0A0U1RP13",11880,9956.098565,8702.342176,5818.965047
"P04187",15360,12824.43235,11050.41743,8878.304299
"F6V9F1",17259,14939.00619,15089.18506,10963.68356
"P36993",17190,14490.12716,14045.45127,12674.09476
"Q6NS52",39465,36123.77058,33104.99443,31324.18876
"P67984",2111,1963.885561,1891.881501,1673.349386
"P62073",57356,54279.63693,51489.56369,47058.92777
"Q9CQX2",40989,39860.71236,39724.42967,32697.04169
"Q9CPU4",12230,11567.31622,11058.62657,10143.27779
"Q00PI9",2690.8,2437.454526,2393.681602,2235.714492
"Q91ZP9",27787,25258.60438,24805.94265,23161.02078
"Q61411",53579,50475.79337,48329.69549,45673.0249
"O54984",5793.7,5367.433519,5301.672473,4895.899798
"B2KGR2",22628,21042.1999,20827.76632,19139.90148
"Q9D1T0",51020,47606.98172,45796.58877,44057.44322
"F7BJK1",130460,120800.7051,118249.4348,111594.3256
"J3QQ44",15152,13951.24933,13685.81266,13126.49243
"P60840",21933,20599.37389,20126.73164,19059.86189
"Q9Z140",339230,314788.7619,317341.98,288734.1137
"P48668",74037,74208.40021,72670.45342,64342.2588
"Q5SVL6",16652,15997.48778,15472.27836,14686.3944
"Q9CR62",54314,51138.43949,49666.61292,48029.84277
"Q4VGL6",1806.8,1756.80865,1706.198524,1608.273721
"P35486",185070,176620.6756,171727.4351,165890.7461
"E0CZD7",29197,27993.6125,28300.69173,25487.3888
"A0A087WQE6",55265,52803.01927,51479.13938,49681.96426
"Q9D164",16437,16053.23926,16149.85834,14427.13574
"A0A1B0GSQ6",23395,22214.57379,22095.62271,20795.50296
"Q60625",266250,261346.99,256242.5079,242084.9539
"Q02053",313390,307620.715,300845.5134,286724.4241
"Q9R0Q6",92546,89581.47147,88968.85814,84395.65558
"P17751",395850,378679.9533,371978.3815,364267.1249
"P62743",35155,34338.13045,34443.2149,31934.92562
"G3UZ28",26868,26641.24098,26343.528,24748.76261
"Q6PDS5",29493,28853.77812,28707.23972,27116.02042
"O08848",13889,13881.63963,13580.26655,12914.21352
"P04925",58432,57725.07814,56755.14199,54175.49113
"Q99LD4",61948,60482.38685,59537.12905,57659.8232
"F8WHL1",86164,83378.72155,82160.48233,80518.95553
"Q4VA93",73618,72422.76009,71747.90221,68569.56704
"G3UVV4",576690,560238.6168,554534.066,542198.609
"P63276",22774,22526.78206,22146.44121,21514.11926
"A0A0A6YX18",146860,144077.7427,142708.7692,139399.3824
"Q8R574",39933,39290.45441,39539.39822,37599.46646
"Q8C048",194660,191020.4854,192250.2904,183638.6547
"Q9WVA2",42821,42884.03526,42614.56892,40724.49037
"P80317",63264,61823.60807,61812.23415,59977.49127
"A0A494BBL4",85243,83475.88841,83470.03595,80991.3631
"P42932",307890,301806.6325,299790.0523,294667.4832
"Q9QXY6",118000,116692.6177,116642.7884,113047.2181
"P62715",23442,23329.60331,23141.96257,22585.08374
"O88737",483370,486057.2958,483883.3222,466630.798
"P16332",11413,11335.23079,11251.60657,11077.65298
"E9PUM4",198980,195878.8283,196732.7426,192260.3103
"P62264",33992,33836.36717,33984.54538,32931.94048
"P97797",93921,93464.95999,93447.40123,92106.42588
"O55125",43266,43849.33224,43797.72782,45065.76803
"Q9ERT9",26070,26497.88004,26834.77349,27062.95069
"P10649",152170,155459.0083,156859.7666,158669.7833
"Q8R5J9",22995,23426.77017,23743.96633,24122.36583
"P62242",19496,19474.78698,19722.78972,20484.91455
"P14094",220470,227864.2465,230833.2584,241632.5562
"Q60931",56397,58284.1858,58085.54424,62771.04689
"P16125",143500,151215.5245,151295.7925,159504.979
"Q8CHP8",32620,34280.78608,34470.57871,36180.50376
"Q8C845",56779,60812.11701,62523.69314,65301.86386
"E9Q704",4073.1,4273.270982,4364.396928,4728.773659
"Q8CEF1",22635,22909.07789,23514.63156,26259.07483
"E9PWK7",5150.2,5636.474213,5786.533074,6027.502974
"Q60634",70400,70017.48213,73354.54859,81671.6996
"Q91X97",17991,19301.16095,19854.39661,21187.87094
"Q9CR95",15435,16637.83331,17465.92716,18011.51729
"P28661",45610,48768.20531,48714.09182,57239.61536
"E9PUL5",55993,63840.2186,64977.31451,71882.50999
"P02089",19394,19559.21064,20328.7026,29869.55625
"P07724",259950,283504.2194,296428.2132,434910.7613
"A0A0R4J0X5",22431,30311.28099,28673.36072,43690.30511
"P02088",102010,101736.8861,104069.7705,194783.2974
"Q91VB8",88498,89536.87029,95679.50607,199072.3753
