,gene_name,module
8,Q8K3J1,yellow
13,Q810N9,yellow
14,B7ZCB8,yellow
26,A0A0G2JFP9,yellow
28,Q9Z1J3,yellow
29,D3Z2X2,yellow
36,Q9JJZ2,yellow
51,Z4YKQ9,yellow
56,B1AZ85,yellow
59,Q8BUV3,yellow
61,E9PUC2,yellow
65,Q60648,yellow
75,Q99MN1,yellow
76,P55088,yellow
78,Q8BSH2,yellow
79,Q9D0S9,yellow
91,P26041,yellow
93,E0CXI9,yellow
95,Q9QYP6,yellow
97,Q920G9,yellow
98,P98084,yellow
100,Q9JKR6,yellow
103,O35127,yellow
110,A0A1D5RL90,yellow
111,Q8K4T5,yellow
119,Q9QYB1,yellow
123,Q61768,yellow
124,P0DP60,yellow
139,P26048,yellow
142,Q60597,yellow
143,D3Z6Z0,yellow
147,Q9Z2X1,yellow
151,B2FDG7,yellow
157,Q9EQE2,yellow
159,Q922R8,yellow
161,Q3UQ44,yellow
162,Q99KP3,yellow
174,A0A0G2JFF1,yellow
178,A0A140LHK6,yellow
179,Q8R001,yellow
180,P84104,yellow
182,A2A547,yellow
190,Q8K4G5,yellow
195,Q9JI91,yellow
202,P60764,yellow
203,F7BX42,yellow
207,Q9QYJ0,yellow
208,Q9CR26,yellow
209,A0A0A6YY72,yellow
218,F6RJV6,yellow
225,O88952,yellow
229,Q8BUK6,yellow
233,P56942,yellow
238,Q9CZU6,yellow
244,Q921W0,yellow
246,P27659,yellow
250,P61222,yellow
253,P46664,yellow
254,A0A2I3BQF4,yellow
255,O35737,yellow
262,Q7TME2,yellow
267,Q9D1E6,yellow
268,P52480,yellow
275,Q9JHG6,yellow
286,Q9CPP6,yellow
288,P61971,yellow
293,P34914,yellow
302,Q91VN4,yellow
303,Q8R1Q8,yellow
305,P10711,yellow
326,A0A0A6YVU8,yellow
333,Q9EQQ9,yellow
341,Q6P4T2,yellow
343,P70404,yellow
347,G3UY33,yellow
362,O09118,yellow
366,P42125,yellow
369,P47791,yellow
378,P62331,yellow
381,Q8BH58,yellow
382,E9Q8N8,yellow
390,O70250,yellow
399,A0A0R4J094,yellow
401,Q8C419,yellow
403,P24527,yellow
415,Q8BJY1,yellow
417,Q9EPJ9,yellow
425,F6SH61,yellow
431,Q9CPQ1,yellow
441,P80315,yellow
450,Q9CQJ8,yellow
451,Q9QYB5,yellow
485,D6RGM3,yellow
490,E9Q7A8,yellow
494,P59999,yellow
520,A0A0G2JDL3,yellow
536,Q6P5F9,yellow
540,Q8BPW9,yellow
541,Q6PGN3,yellow
557,F8WIT2,yellow
569,P63330,yellow
590,Q9D0F3,yellow
596,P97492,yellow
605,G3UY65,yellow
616,P62900,yellow
659,O09111,yellow
667,Q640R3,yellow
692,P20029,yellow
694,A0A087WSF5,yellow
695,Q99N15,yellow
699,Q80VP1,yellow
719,Q8BH44,yellow
761,Q8CDN6,yellow
763,P24472,yellow
788,Q9DB77,yellow
792,Q9QYS9,yellow
830,Q9D1L0,yellow
853,A0A0R4J0I9,yellow
869,Q91VE0,yellow
875,Q9QXS1,yellow
909,Q91YS4,yellow
913,P32883,yellow
920,A0A1B0GRW3,yellow
1123,Q8C522,yellow
1499,F8VPK5,yellow
1599,E9PUC5,yellow
1676,P62761,yellow
1680,O08547,yellow
1687,Q80VM5,yellow
1712,Q14BB9,yellow
1735,Q80WJ7,yellow
1752,Q9QYG0,yellow
1775,Q3UND0,yellow
1778,Q8BGC9,yellow
1783,A0A087WSB5,yellow
1785,Q80T41,yellow
1786,P46096,yellow
1789,Q8VBY2,yellow
1791,P34884,yellow
1809,D3Z0S6,yellow
1823,Q9Z0H8,yellow
1842,S4R1E5,yellow
1850,Q8K1M6,yellow
1860,Q61282,yellow
1870,D3Z396,yellow
1873,E9PY16,yellow
1879,P54227,yellow
1887,A0A0R4J1N9,yellow
1902,O08599,yellow
1904,Q8CCN5,yellow
1911,Q99MD8,yellow
1922,Q8C115,yellow
1924,D3YUW2,yellow
1926,P06837,yellow
1938,Q5I012,yellow
1940,Q8R404,yellow
1945,A0A0A0MQP0,yellow
1948,E9Q9F6,yellow
1949,P62897,yellow
1953,Q9Z0P5,yellow
